Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
mri_d2_temperature,early_mri,,radio,Was temperature maintained normothermic?,"1, Yes | 0, No",,,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_temperature_rsn,early_mri,,text,"If temperature not maintained, specify reason",,,,,,,[mri_d2_temperature] ='0',,,,,,
mri_d2_respiration,early_mri,,radio,Was respiration monitored?,"1, Yes | 0, No",,,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_respiration_rsn,early_mri,,text,"If respiration not monitored, specify reason",,,,,,,[mri_d2_respiration] = '0',,,,,,
mri_d2_anes_start_t,early_mri,,text,Start time of anesthesia,,,time,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_anes_end_t,early_mri,,text,End time of anesthesia,,,time,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_anes_duration,early_mri,,calc,Anesthesia duration (minutes) (CC view only),"datediff([mri_d2_anes_start_t],[mri_d2_anes_end_t], 'm')",,,,,,[mri_d2_conduct] = '1',,,,,, @HIDDEN
mri_d2_comments,early_mri,,notes,MRI comments,,,,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_upload_ida,early_mri,,radio,Was the MRI scan uploaded to the IDA?,"1, Yes | 0, No",,,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_upload_ida_rsn,early_mri,,text,Reason the MRI scan was not uploaded to the IDA,,,,,,,[mri_d2_upload_ida] = '0',,,,,,
mri_d2_ida_dt,early_mri,,text,Date of MRI upload to the IDA,,,date_mdy,,,,[mri_d2_upload_ida] = '1',,,,,,
mri_d2_local_file,early_mri,,text,Local MRI scan file name,,,,,,,[mri_d2_upload_ida] = '1',,,,,,
mri_d2_issues,early_mri,,radio,Were any issues detected in the early MRI scan?,"1, Yes | 0, No",,,,,,[mri_d2_conduct] = '1',,,,,,
mri_d2_issues_rsn,early_mri,,radio,"If there were issues detected, specify","1, Missing sequence(s) | 2, Motion artifact | 3, Scanner placement issue | 4, Disruption during scan | 5, Bad image quality | 9, Other",,,,,,[mri_d2_issues] = '1',,,,,,
mri_d2_issue_rsn_seq,early_mri,,notes,"If missing sequence, specify which sequence(s)",,,,,,,[mri_d2_issues_rsn] ='1',,,,,,
mri_d2_issue_rsn_oth,early_mri,,notes,"If other issue was detected, specify",,,,,,,[mri_d2_issues_rsn] ='9',,,,,,
p_mri_d2_ind,pipeline_day_2_mri,Day 2 MRI Pipeline Output,radio,Was the scan successfully processed through the pipeline?,"1, Yes | 0, No",,,,,,,,,,,,
p_mri_d2_rsn,pipeline_day_2_mri,,checkbox,Reason scan not successfully processed through pipeline,"1, Missing sequence(s) | 2, Motion artifact | 3, Scanner placement issue | 4, Failed nifty conversion | 5, Bad image quality | 6, Ghosting artifact | 7, Masking threshold error | 8, Atlas registration failed | 9, Other",,,,,,[p_mri_d2_ind] = '0',,,,,,
p_mri_d2_rsn_oth,pipeline_day_2_mri,,text,"If other reason scan not successfully processed through pipeline, specify",,,,,,,[p_mri_d2_rsn(9)] = '1',,,,,,
p_mri_d2_name,pipeline_day_2_mri,,text,Name of the person running the pipeline,,,,,,,,,,,,,
p_mri_d2_vol_csf,pipeline_day_2_mri,,text,Total volume of cerebro-spinal fluid (CSF) mm3,,,number,,,,,,,,,,
p_mri_d2_vol_tis,pipeline_day_2_mri,,text,Total volume of normal-appearing brain tissue mm3,,,number,,,,,,,,,,
p_mri_d2_vol_les,pipeline_day_2_mri,,text,Total volume of lesion mm3,,,number,,,,,,,,,,
p_mri_d2_vol_tot,pipeline_day_2_mri,,text,Total brain volume mm3,,([p_mri_d2_vol_csf] +[p_mri_d2_vol_tis] + [p_mri_d2_vol_les]),number,,,,,,,,,,
p_mri_d2_mid_shift_left,pipeline_day_2_mri,,text,Distance of the midline to the left lateral extent of the brain (mm),,,number,,,,,,,,,,
p_mri_d2_mid_shift_right,pipeline_day_2_mri,,text,Distance of the midline to the right lateral extent of the brain (mm),,,number,,,,,,,,,,
p_mri_d2_mid_shift_indx,pipeline_day_2_mri,,text,Lateralization index of the difference of the left and right distances over the average of the left and right,,(([p_mri_d2_mid_shift_right]-[p_mri_d2_mid_shift_left]) / (([p_mri_d2_mid_shift_right]+[p_mri_d2_mid_shift_left])/2)),number,,,,,,,,,,
p_mri_d2_fract_csf,pipeline_day_2_mri,,text,Fraction of total brain that is csf,,([p_mri_d2_vol_csf] / [p_mri_d2_vol_tot]),number,,,,,,,,,,
p_mri_d2_fract_csf_left,pipeline_day_2_mri,,text,Fraction of left hemisphere brain that is csf,,([p_mri_d2_hem_left_csf] / [p_mri_d2_hem_left_tot]),number,,,,,,,,,,
p_mri_d2_fract_csf_right,pipeline_day_2_mri,,text,Fraction of right hemisphere brain that is csf,,([p_mri_d2_hem_right_csf] / [p_mri_d2_hem_right_tot]),number,,,,,,,,,,
p_mri_d2_fract_tis,pipeline_day_2_mri,,text,Fraction of total brain that is normal-appearing brain tissue,,([p_mri_d2_vol_tis] / [p_mri_d2_vol_tot]),number,,,,,,,,,,
p_mri_d2_fract_tis_left,pipeline_day_2_mri,,text,Fraction of left hemisphere brain that is normal-appearing brain tissue,,([p_mri_d2_hem_left_tis]/ [p_mri_d2_hem_left_tot]),number,,,,,,,,,,
p_mri_d2_fract_tis_right,pipeline_day_2_mri,,text,Fraction of right hemisphere brain that is normal-appearing brain tissue,,([p_mri_d2_hem_right_tis]/[p_mri_d2_hem_right_tot]),number,,,,,,,,,,
p_mri_d2_fract_les,pipeline_day_2_mri,,text,Fraction of total brain that is lesion,,([p_mri_d2_vol_les] / [p_mri_d2_vol_tot]),number,,,,,,,,,,
p_mri_d2_fract_les_left,pipeline_day_2_mri,,text,Fraction of left hemisphere brain that is lesion,,([p_mri_d2_hem_left_les] / [p_mri_d2_hem_left_tot]),number,,,,,,,,,,
p_mri_d2_fract_les_right,pipeline_day_2_mri,,text,Fraction of right hemisphere brain that is lesion,,([p_mri_d2_hem_right_les] / [p_mri_d2_hem_right_tot]),number,,,,,,,,,,
p_mri_d2_hem_left_csf,pipeline_day_2_mri,,text,Volume of csf in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_left_les,pipeline_day_2_mri,,text,Volume of lesion in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_left_tis,pipeline_day_2_mri,,text,Volume of normal-appearing brain tissue in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_left_tot,pipeline_day_2_mri,,text,Total volume of the left hemisphere mm3,,([p_mri_d2_hem_left_csf ] + [p_mri_d2_hem_left_les] + [p_mri_d2_hem_left_tis]),number,,,,,,,,,,
p_mri_d2_hem_right_csf,pipeline_day_2_mri,,text,Volume of csf in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_right_les,pipeline_day_2_mri,,text,Volume of lesion in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_right_tis,pipeline_day_2_mri,,text,Volume of normal-appearing brain tissue in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d2_hem_right_tot,pipeline_day_2_mri,,text,Total volume of the right hemisphere mm3,,([p_mri_d2_hem_right_csf] + [p_mri_d2_hem_right_les] + [p_mri_d2_hem_right_tis]),number,,,,,,,,,,
p_mri_d2_adc_qa_snr,pipeline_day_2_mri,,text,Day 2 ADC SNR,,,number,,,,,,,,,,
p_mri_d2_t2_qa_snr,pipeline_day_2_mri,,text,Day 2 T2 SNR,,,number,,,,,,,,,,
p_mri_d2_comments,pipeline_day_2_mri,,text,Day 2 Pipeline Comments,,,,,,,,,,,,,
corner_d7_conduct,behavior_day_7_recording,,radio,Was a Day 7 corner test conducted?,"1, Yes|0, No",,,,,,[randomization_complete] = '2',y,,,,,
corner_d7_conduct_rsn,behavior_day_7_recording,,radio,"If not conducted, specify reason","1, Animal death | 2, Equipment failure | 3, Not in experimental protocol | 4, Other",,,,,,[corner_d7_conduct] = '0',,,,,,
corner_d7_conduct_rsn_oth,behavior_day_7_recording,,text,"If other reason not conducted, specify",,,,,,,[corner_d7_conduct_rsn] = '4',,,,,,
corner_d7_weight,behavior_day_7_recording,,text,Weight (g),,,number,,,,[corner_d7_conduct] = '1',,,,,, @HIDDEN
corner_d7_dt,behavior_day_7_recording,,text,Testing date,,,date_mdy,,,,[corner_d7_conduct] = '1',y,,,,,
corner_d7_since_surg,behavior_day_7_recording,,calc,Days since surgery,"datediff([srg_actual_surg_dt],[corner_d7_dt], ""d"", ""mdy"", true)",,,,,,[corner_d7_conduct] = '1',,,,,,
corner_d7_out_window,behavior_day_7_recording,,radio,Was testing done within expected window?,"1, Yes|0, No",,,,,,[corner_d7_conduct] = '1',,,,,,
corner_d7_out_window_rsn,behavior_day_7_recording,,text,"If testing not done within expected window, specify reason",,,,,,,[corner_d7_out_window]='0',,,,,,
corner_d7_cmts,behavior_day_7_recording,,checkbox,Testing comments,"1, Animal could not complete test/complete 10 turns | 2, Recording equipment malfunction | 3, Disruption during recording | 4, Other",,,,,,[corner_d7_conduct] = '1',,,,,,
corner_d7_cmts_oth,behavior_day_7_recording,,text,"If other testing comment, specify",,,,,,,[corner_d7_cmts(4)] = '1',,,,,,
corner_d7_performed_by,behavior_day_7_recording,,text,Testing performed by,,REDCap ID,,,,,[corner_d7_conduct] = '1',,,,,,
corner_d7_record,behavior_day_7_recording,,radio,Was the test recorded?,"1, Yes | 0, No",,,,,,[corner_d7_conduct] = '1',,,,,,
corner_d7_record_rsn,behavior_day_7_recording,,text,"If test not recorded, specify reason",,,,,,,[corner_d7_record] = '0',,,,,,
corner_d7_upload_ida,behavior_day_7_recording,,radio,Was the recording uploaded to the IDA?,"1, Yes|0, No",,,,,,[corner_d7_conduct] = '1',y,,,,,
corner_d7_upload_ida_rsn,behavior_day_7_recording,,text,Reason recording not uploaded to the IDA,,,,,,,[corner_d7_upload_ida] = '0',,,,,,
corner_d7_ida_dt,behavior_day_7_recording,,text,Date of upload to the IDA,,,date_mdy,,,,[corner_d7_upload_ida] = '1',y,,,,,
corner_d7_local_file,behavior_day_7_recording,,text,Local recording file name,,,,,,,[corner_d7_upload_ida] = '1',,,,,,
mri_d30_conduct,mri_day_30,,radio,Was this assessment/procedure conducted?,"1, Yes|0, No",,,,,,[randomization_complete] = '2',,,,,,
mri_d30_conduct_rsn,mri_day_30,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[mri_d30_conduct] = '0',,,,,,
mri_d30_conduct_rsn_oth,mri_day_30,,text,"If other reason not conducted, specify",,,,,,,[mri_d30_conduct_rsn] = '3',,,,,,
mri_d30_scan_dt,mri_day_30,,text,Date of MRI scan,,,date_mdy,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_temperature,mri_day_30,,radio,Was temperature maintained normothermic?,"1, Yes|0, No",,,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_temperature_rsn,mri_day_30,,text,"If temperature not maintained, specify reason",,,,,,,[mri_d30_temperature] ='0',,,,,,
mri_d30_respiration,mri_day_30,,radio,Was respiration monitored?,"1, Yes|0, No",,,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_respiration_rsn,mri_day_30,,text,"If respiration not monitored, specify reason",,,,,,,[mri_d30_respiration] = '0',,,,,,
mri_d30_anes_start_t,mri_day_30,,text,Start time of anesthesia,,,time,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_anes_end_t,mri_day_30,,text,End time of anesthesia,,,time,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_anes_duration,mri_day_30,,calc,Anesthesia duration (minutes) (CC view only),"datediff([mri_d30_anes_start_t],[mri_d30_anes_end_t], 'm')",,,,,,[mri_d30_conduct] = '1',,,,,, @HIDDEN
mri_d30_comments,mri_day_30,,notes,MRI comments,,,,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_upload_ida,mri_day_30,,radio,Was the MRI scan uploaded to the IDA?,"1, Yes|0, No",,,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_upload_ida_rsn,mri_day_30,,text,Reason the MRI scan was not uploaded to the IDA,,,,,,,[mri_d30_upload_ida] = '0',,,,,,
mri_d30_ida_dt,mri_day_30,,text,Date of MRI upload to the IDA,,,date_mdy,,,,[mri_d30_upload_ida] = '1',,,,,,
mri_d30_local_file,mri_day_30,,text,Local MRI scan file name,,,,,,,[mri_d30_upload_ida] = '1',,,,,,
mri_d30_issues,mri_day_30,,radio,Were any issues detected in the Day 30 scan? ,"1, Yes | 0, No",,,,,,[mri_d30_conduct] = '1',,,,,,
mri_d30_issues_rsn,mri_day_30,,radio,"If there were issues detected, specify","1, Missing sequence(s) | 2, Motion artifact | 3, Scanner placement issue | 4, Disruption during scan | 5, Bad image quality | 9, Other",,,,,,[mri_d30_issues] = '1',,,,,,
mri_d30_issue_rsn_seq,mri_day_30,,notes,"If missing sequence, specify which sequence(s)",,,,,,,[mri_d30_issues_rsn] = '1',,,,,,
mri_d30_issue_rsn_oth,mri_day_30,,notes,"If other issue was detected, specify:",,,,,,,[mri_d30_issues_rsn] = '9',,,,,,
p_mri_d30_ind,pipeline_day_30_mri,Day 30 MRI Pipeline Output,radio,Was the scan successfully processed through the pipeline?,"1, Yes | 0, No",,,,,,,,,,,,
p_mri_d30_rsn,pipeline_day_30_mri,,checkbox,Reason scan not successfully processed through pipeline,"1, Missing sequence(s) | 2, Motion artifact | 3, Scanner placement issue | 4, Failed nifty conversion | 5, Bad image quality | 6, Ghosting artifact | 7, Masking threshold error | 8, Atlas registration failed | 9, Other",,,,,,[p_mri_d30_ind] = '0',,,,,,
p_mri_d30_rsn_oth,pipeline_day_30_mri,,text,"If other reason scan not successfully processed through pipeline, specify",,,,,,,[p_mri_d30_rsn(9)] = '1',,,,,,
p_mri_d30_name,pipeline_day_30_mri,,text,Name of the person running the pipeline,,,,,,,,,,,,,
p_mri_d30_vol_csf,pipeline_day_30_mri,,text,Total volume of cerebro-spinal fluid (CSF) mm3,,,number,,,,,,,,,,
p_mri_d30_vol_tis,pipeline_day_30_mri,,text,Total volume of normal-appearing brain tissue mm3,,,number,,,,,,,,,,
p_mri_d30_vol_les,pipeline_day_30_mri,,text,Total volume of lesion mm3,,,number,,,,,,,,,,
p_mri_d30_vol_tot,pipeline_day_30_mri,,calc,Total brain volume mm3,([p_mri_d30_vol_csf] + [p_mri_d30_vol_tis] + [p_mri_d30_vol_les]),,,,,,,,,,,,
p_mri_d30_mid_shift_left,pipeline_day_30_mri,,text,Distance of the midline to the left lateral extent of the brain (mm),,,number,,,,,,,,,,
p_mri_d30_mid_shift_right,pipeline_day_30_mri,,text,Distance of the midline to the right lateral extent of the brain (mm),,,number,,,,,,,,,,
p_mri_d30_mid_shift_indx,pipeline_day_30_mri,,calc,Lateralization index of the difference of the left and right distances over the average of the left and right,(([p_mri_d30_mid_shift_right] - [p_mri_d30_mid_shift_left]) / (([p_mri_d30_mid_shift_right] + [p_mri_d30_mid_shift_left])/2)),,,,,,,,,,,,
p_mri_d30_fract_csf,pipeline_day_30_mri,,calc,Fraction of total brain that is csf,([p_mri_d30_vol_csf] / [p_mri_d30_vol_tot]),,,,,,,,,,,,
p_mri_d30_fract_csf_left,pipeline_day_30_mri,,calc,Fraction of left hemisphere brain that is csf,([p_mri_d30_hem_left_csf] / [p_mri_d30_hem_left_tot]),,,,,,,,,,,,
p_mri_d30_fract_csf_right,pipeline_day_30_mri,,calc,Fraction of right hemisphere brain that is csf,([p_mri_d30_hem_right_csf] / [p_mri_d30_hem_right_tot]),,,,,,,,,,,,
p_mri_d30_fract_tis,pipeline_day_30_mri,,calc,Fraction of total brain that is normal-appearing brain tissue,([p_mri_d30_vol_tis] / [p_mri_d30_vol_tot]),,,,,,,,,,,,
p_mri_d30_fract_tis_left,pipeline_day_30_mri,,calc,Fraction of left hemisphere brain that is normal-appearing brain tissue,([p_mri_d30_hem_left_tis]/ [p_mri_d30_hem_left_tot]),,,,,,,,,,,,
p_mri_d30_fract_tis_right,pipeline_day_30_mri,,calc,Fraction of right hemisphere brain that is normal-appearing brain tissue,([p_mri_d30_hem_right_tis] / [p_mri_d30_hem_right_tot]),,,,,,,,,,,,
p_mri_d30_fract_les,pipeline_day_30_mri,,calc,Fraction of total brain that is lesion,([p_mri_d30_vol_les] / [p_mri_d30_vol_tot]),,,,,,,,,,,,
p_mri_d30_fract_les_left,pipeline_day_30_mri,,calc,Fraction of left hemisphere brain that is lesion,([p_mri_d30_hem_left_les]/ [p_mri_d30_hem_left_tot]),,,,,,,,,,,,
p_mri_d30_fract_les_right,pipeline_day_30_mri,,calc,Fraction of right hemisphere brain that is lesion,([p_mri_d30_hem_right_les] / [p_mri_d30_hem_right_tot]),,,,,,,,,,,,
p_mri_d30_hem_left_csf,pipeline_day_30_mri,,text,Volume of csf in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_left_les,pipeline_day_30_mri,,text,Volume of lesion in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_left_tis,pipeline_day_30_mri,,text,Volume of normal-appearing brain tissue in the left hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_left_tot,pipeline_day_30_mri,,calc,Total volume of the left hemisphere mm3,([p_mri_d30_hem_left_csf] + [p_mri_d30_hem_left_les] + [p_mri_d30_hem_left_tis]),,,,,,,,,,,,
p_mri_d30_hem_right_csf,pipeline_day_30_mri,,text,Volume of csf in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_right_les,pipeline_day_30_mri,,text,Volume of lesion in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_right_tis,pipeline_day_30_mri,,text,Volume of normal-appearing brain tissue in the right hemisphere mm3,,,number,,,,,,,,,,
p_mri_d30_hem_right_tot,pipeline_day_30_mri,,calc,Total volume of the right hemisphere mm3,([p_mri_d30_hem_right_csf] + [p_mri_d30_hem_right_les] + [p_mri_d30_hem_right_tis]),,,,,,,,,,,,
p_mri_d30_adc_qa_snr,pipeline_day_30_mri,,text,Day 30 ADC SNR,,,number,,,,,,,,,,
p_mri_d30_t2_qa_snr,pipeline_day_30_mri,,text,Day 30 T2 SNR,,,number,,,,,,,,,,
p_mri_d30_comments,pipeline_day_30_mri,,text,Day 30 Pipeline Comments,,,,,,,,,,,,,
behav_d30_conduct,behavior_day_30_recording,,radio,Were Day 30 Behavior tests conducted?,"1, Yes | 0, No",,,,,,[randomization_complete] = '2',,,,,,
behav_d30_conduct_rsn,behavior_day_30_recording,,radio,"If not conducted, specify reason","1, Animal death | 2, Equipment failure | 3, Other",,,,,,[behav_d30_conduct] = '0',,,,,,
behav_d30_conduct_rsn_oth,behavior_day_30_recording,,text,"If other reason not conducted, specify",,,,,,,[behav_d30_conduct_rsn] = '3',,,,,,
corner_d30_conduct,behavior_day_30_recording, ,radio,Was a Day 30 Corner test conducted?,"1, Yes|0, No",,,,,,[behav_d30_conduct] = '1',y,,,,,
corner_d30_conduct_rsn,behavior_day_30_recording,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[corner_d30_conduct] = '0',,,,,,
corner_d30_conduct_rsn_oth,behavior_day_30_recording,,text,"If other reason not conducted, specify",,,,,,,[corner_d30_conduct_rsn] = '3',,,,,,
corner_d30_record_dt,behavior_day_30_recording,,text,Date of recording,,,date_mdy,,,,[corner_d30_conduct] = '1',y,,,,,
corner_d30_day_since_surg,behavior_day_30_recording,,calc,Days since surgery,"datediff([srg_actual_surg_dt],[corner_d30_record_dt], ""d"", ""mdy"", true)",,,,,,[corner_d30_conduct] = '1',,,,,,
corner_d30_out_window,behavior_day_30_recording,,radio,Was recording done within expected window?,"1, Yes|0, No",,,,,,[corner_d30_conduct] = '1',,,,,,
corner_d30_out_window_rsn,behavior_day_30_recording,,text,"If recording not done within expected window, specify reason",,,,,,,[corner_d30_out_window]='0',,,,,,
corner_d30_comments,behavior_day_30_recording,,checkbox,Recording comments,"1, Animal could not complete test/complete 10 turns | 2, Recording equipment malfunction | 3, Disruption during recording | 4, Other",,,,,,[corner_d30_conduct] = '1',,,,,,
corner_d30_comments_oth,behavior_day_30_recording,,text,"If other recording comment, specify",,,,,,,[corner_d30_comments(4)] = '1',,,,,,
corner_d30_performed_by,behavior_day_30_recording,,text,Behavior assessment performed by,,REDCap ID,,,,,[corner_d30_conduct] = '1',,,,,,
corner_d30_record,behavior_day_30_recording,,radio,Was the test recorded?,"1, Yes | 0, No",,,,,,[corner_d30_conduct] = '1',,,,,,
corner_d30_record_rsn,behavior_day_30_recording,,text,"If test not recorded, specify reason",,,,,,,[corner_d30_record] = '0',,,,,,
corner_d30_upload_ida,behavior_day_30_recording,,radio,Was the recording uploaded to the IDA?,"1, Yes|0, No",,,,,,[corner_d30_conduct] = '1',y,,,,,
corner_d30_upload_ida_rsn,behavior_day_30_recording,,text,Reason recording not uploaded to the IDA,,,,,,,[corner_d30_upload_ida] = '0',,,,,,
corner_d30_ida_dt,behavior_day_30_recording,,text,Date of upload to the IDA,,,date_mdy,,,,[corner_d30_upload_ida] = '1',y,,,,,
corner_d30_local_file_name,behavior_day_30_recording,,text,Local recording file name (see SOP for naming convention),,,,,,,[corner_d30_upload_ida] = '1',,,,,,
neuro_d30_conduct,behavior_day_30_recording, ,radio,Was a Day 30 Neurodeficit Screening Battery conducted?,"1, Yes | 0, No",,,,,,[behav_d30_conduct] = '1',,,,,,
neuro_d30_conduct_rsn,behavior_day_30_recording,,radio,"If not conducted, specify reason","1, Animal death | 2, Equipment failure | 3, Other",,,,,,[neuro_d30_conduct] = '0',,,,,,
neuro_d30_conduct_rsn_oth,behavior_day_30_recording,,text,"If other reason not conducted, specify",,,,,,,[neuro_d30_conduct_rsn] = '4',,,,,,
neuro_d30_dt,behavior_day_30_recording,,text,Date of Neurodeficit Screening Battery,,,date_mdy,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_spont,behavior_day_30_recording,,radio,Spontaneous activity,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_circling,behavior_day_30_recording,,radio,Circling,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_symmetry,behavior_day_30_recording,,radio,Symmetry in the movement of the four limbs,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_outstretching,behavior_day_30_recording,,radio,Forepaw outstretching,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_trunk,behavior_day_30_recording,,radio,Body/trunk sensation,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_vibrissae,behavior_day_30_recording,,radio,Vibrissae (whisker) sensation,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_face,behavior_day_30_recording,,radio,Face sensation,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_beam,behavior_day_30_recording,,radio,Beam Walking,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_climb,behavior_day_30_recording,,radio,Grid Climbing,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 99, Could not complete test",,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_cmts,behavior_day_30_recording,,notes,Testing comments,,,,,,,[neuro_d30_conduct] = '1',,,,,,
neuro_d30_cmts_oth,behavior_day_30_recording,,text,"If other testing comment, specify",,,,,,,[neuro_d30_cmts] = '2',,,,,,
crt_bl_conduct,behavior_scores,"<div class=""rich-text-field-label""><h3>Baseline Corner Test Rating</h3></div>",radio,Was the Baseline corner rating conducted?,"1, Yes | 0, No",,,,,,,,,,,,
crt_bl_conduct_rsn,behavior_scores,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[crt_bl_conduct] = '0',,,,,,
crt_bl_conduct_rsn_oth,behavior_scores,,text,"If other reason not conducted, specify",,,,,,,[crt_bl_conduct_rsn] = '3',,,,,,
crt_bl_ida_video_rec_dtt,behavior_scores,,text,Date and time of video recording,,,datetime_mdy,,,,,,,,,,
crt_bl_ida_visit_code,behavior_scores,,text,IDA visit code,,,,,,,,,,,,,
crt_bl_ida_videouid,behavior_scores,,text,VIDEOUID,,,,,,,,,,,,,
crt_bl_ida_videouid_url,behavior_scores,,text,VIDEOUID URL,,,,,,,,,,,,,
crt_bl_test_tag_color,behavior_scores,,radio,Corner test ear tag color,"1, Orange | 2, Yellow | 3, White | 4, Blue | 5, Green | 6, None",,,,,,,,,,,,
crt_bl_ai_success,behavior_scores,,radio,Was this video successfully analyzed by AI?,"1, Yes | 0, No",,,,,,,,,,,,
crt_bl_ai_fail_rsn,behavior_scores,,checkbox,Why did the video fail AI analysis?,"1, Wrong angle of camera position (Animal hidden behind the apparatus walls) | 2, Inferior quality of the image (RED light) | 3, Reflection on apparatus | 4, Unexpected manipulations with the animal on top of the apparatus | 5, Corrupted video | 6, Video with different behavior tests on it | 7, The video with the wrong animal tag | 8, Other",,,,,,[crt_bl_ai_success] = '0',,,,,,
crt_bl_ai_fail_rsn_oth,behavior_scores,,notes,"If video fails AI analysis for other reason, specify",,,,,,,[crt_bl_ai_fail_rsn(8)] = '1',,,,,,
crt_bl_qa_assign,behavior_scores,,radio,Was this video assigned for quality control?,"1, Yes|0, No",,,,,,,,,,,,
crt_bl_qa_site,behavior_scores,,checkbox,Assigned site,"1, AG | 7, DK | 2, IW | 4, MG | 8, SD | 6, YL | 9, CC",,,,,,[crt_bl_qa_assign]= '1',,,,,,
crt_bl_video_assign,behavior_scores,,radio,Was this video assigned for rating?,"1, Yes|0, No",,,,,,,,,,,,
crt_bl_video_assign_no,behavior_scores,,radio,"If video not assigned, please specify reason","1, Animal died before all behavior tests were collected | 3, Other",,,,,,[crt_bl_video_assign] = '0',,,,,,
crt_bl_video_assign_no_oth,behavior_scores,,text,"If video not assigned for other reason, specify",,,,,,,[crt_bl_video_assign_no] = '3',,,,,,
crt_bl_assign_site,behavior_scores,,checkbox,Assigned site,"1, AG | 7, DK | 2, IW | 4, MG | 8, SD | 6, YL | 9, CC",,,,,,[crt_bl_video_assign] = '1',,,,,,
crt_bl_assign_rater_s1,behavior_scores,,dropdown,Site 1 assigned rater,"1000, 1000|1001, 1001|1002, 1002|1003, 1003|1004, 1004|1005, 1005|1006, 1006|1007, 1007|1008, 1008|1009, 1009|1010, 1010|1011, 1011|1012, 1012|1013, 1013|1014, 1014|1015, 1015|1016, 1016|1017, 1017|1018, 1018|1019, 1019|1020, 1020",,,,,,[crt_bl_assign_site(1)] = '1',,,,,,
crt_bl_email_s1,behavior_scores,,radio,Was this video assignment emailed to the site?,"1, Yes|0, No",,,,,,[crt_bl_assign_site(1)] = '1',,,,,,
